Date,PlotID,Plant,VegID,Height_cm,PercentGreenCover
10/4/2021,1A,Milkweed,M1,16.5,5.91
10/4/2021,1A,Milkweed,M2,24,
10/4/2021,1A,Coneflower,C1,12.5,
10/4/2021,1A,Coneflower,C2,19,
10/4/2021,1A,Joe-Pye,J1,64,
10/4/2021,1A,Joe-Pye,J2,36.5,
10/4/2021,1B,Milkweed,M1,21.5,4.49
10/4/2021,1B,Milkweed,M2,23,
10/4/2021,1B,Coneflower,C1,21,
10/4/2021,1B,Coneflower,C2,17,
10/4/2021,1B,Joe-Pye,J1,44,
10/4/2021,1B,Joe-Pye,J2,47.5,
10/4/2021,1C,Milkweed,M1,28.5,7.36
10/4/2021,1C,Milkweed,M2,16,
10/4/2021,1C,Coneflower,C1,20,
10/4/2021,1C,Coneflower,C2,22.5,
10/4/2021,1C,Joe-Pye,J1,39,
10/4/2021,1C,Joe-Pye,J2,62,
10/4/2021,2A,Milkweed,M1,35,37.79
10/4/2021,2A,Milkweed,M2,41,
10/4/2021,2A,Coneflower,C1,23,
10/4/2021,2A,Coneflower,C2,22,
10/4/2021,2A,Joe-Pye,J1,68.5,
10/4/2021,2A,Joe-Pye,J2,78.5,
10/4/2021,2B,Milkweed,M1,29,23.77
10/4/2021,2B,Milkweed,M2,26,
10/4/2021,2B,Coneflower,C1,32,
10/4/2021,2B,Coneflower,C2,32.5,
10/4/2021,2B,Joe-Pye,J1,69,
10/4/2021,2B,Joe-Pye,J2,77,
10/4/2021,2C,Milkweed,M1,34,33.6
10/4/2021,2C,Milkweed,M2,30,
10/4/2021,2C,Coneflower,C1,28,
10/4/2021,2C,Coneflower,C2,28,
10/4/2021,2C,Joe-Pye,J1,69,
10/4/2021,2C,Joe-Pye,J2,69.5,
10/4/2021,3A,Milkweed,M1,19,28.56
10/4/2021,3A,Milkweed,M2,38.5,
10/4/2021,3A,Coneflower,C1,25.5,
10/4/2021,3A,Coneflower,C2,80.5,
10/4/2021,3A,Joe-Pye,J1,59,
10/4/2021,3A,Joe-Pye,J2,75,
10/4/2021,3B,Milkweed,M1,33,27.03
10/4/2021,3B,Milkweed,M2,27,
10/4/2021,3B,Coneflower,C1,74,
10/4/2021,3B,Coneflower,C2,24.5,
10/4/2021,3B,Joe-Pye,J1,72.5,
10/4/2021,3B,Joe-Pye,J2,66.5,
10/4/2021,3C,Milkweed,M1,50.5,35.19
10/4/2021,3C,Milkweed,M2,32,
10/4/2021,3C,Coneflower,C1,20,
10/4/2021,3C,Coneflower,C2,22.5,
10/4/2021,3C,Joe-Pye,J1,74.5,
10/4/2021,3C,Joe-Pye,J2,58,
10/4/2021,4A,Milkweed,M1,36.5,35.95
10/4/2021,4A,Milkweed,M2,44,
10/4/2021,4A,Coneflower,C1,26.5,
10/4/2021,4A,Coneflower,C2,23,
10/4/2021,4A,Joe-Pye,J1,85,
10/4/2021,4A,Joe-Pye,J2,73.5,
10/4/2021,4B,Milkweed,M1,43,43.9
10/4/2021,4B,Milkweed,M2,42,
10/4/2021,4B,Coneflower,C1,24.5,
10/4/2021,4B,Coneflower,C2,28,
10/4/2021,4B,Joe-Pye,J1,75,
10/4/2021,4B,Joe-Pye,J2,67.5,
10/4/2021,4C,Milkweed,M1,37,26.46
10/4/2021,4C,Milkweed,M2,35.5,
10/4/2021,4C,Coneflower,C1,85,
10/4/2021,4C,Coneflower,C2,23,
10/4/2021,4C,Joe-Pye,J1,66,
10/4/2021,4C,Joe-Pye,J2,75,
8/27/2021,1A,Milkweed,M1,21,9.57
8/27/2021,1A,Milkweed,M2,25.5,
8/27/2021,1A,Coneflower,C1,15.5,
8/27/2021,1A,Coneflower,C2,20,
8/27/2021,1A,Joe-Pye,J1,63.5,
8/27/2021,1A,Joe-Pye,J2,45,
8/27/2021,1B,Milkweed,M1,25,11.89
8/27/2021,1B,Milkweed,M2,24,
8/27/2021,1B,Coneflower,C1,23,
8/27/2021,1B,Coneflower,C2,17.5,
8/27/2021,1B,Joe-Pye,J1,45.5,
8/27/2021,1B,Joe-Pye,J2,49,
8/27/2021,1C,Milkweed,M1,30.5,15.42
8/27/2021,1C,Milkweed,M2,19.5,
8/27/2021,1C,Coneflower,C1,22,
8/27/2021,1C,Coneflower,C2,19.5,
8/27/2021,1C,Joe-Pye,J1,56,
8/27/2021,1C,Joe-Pye,J2,63,
8/27/2021,2A,Milkweed,M1,40.5,52.13
8/27/2021,2A,Milkweed,M2,41,
8/27/2021,2A,Coneflower,C1,23.5,
8/27/2021,2A,Coneflower,C2,21,
8/27/2021,2A,Joe-Pye,J1,68,
8/27/2021,2A,Joe-Pye,J2,78,
8/27/2021,2B,Milkweed,M1,40,45.75
8/27/2021,2B,Milkweed,M2,27,
8/27/2021,2B,Coneflower,C1,24.5,
8/27/2021,2B,Coneflower,C2,44,
8/27/2021,2B,Joe-Pye,J1,62,
8/27/2021,2B,Joe-Pye,J2,74.5,
8/27/2021,2C,Milkweed,M1,36,35.53
8/27/2021,2C,Milkweed,M2,36,
8/27/2021,2C,Coneflower,C1,27,
8/27/2021,2C,Coneflower,C2,28,
8/27/2021,2C,Joe-Pye,J1,68.5,
8/27/2021,2C,Joe-Pye,J2,65,
8/27/2021,3A,Milkweed,M1,18,35.66
8/27/2021,3A,Milkweed,M2,36.5,
8/27/2021,3A,Coneflower,C1,26,
8/27/2021,3A,Coneflower,C2,65.5,
8/27/2021,3A,Joe-Pye,J1,60,
8/27/2021,3A,Joe-Pye,J2,74,
8/27/2021,3B,Milkweed,M1,33,31.53
8/27/2021,3B,Milkweed,M2,36,
8/27/2021,3B,Coneflower,C1,39.5,
8/27/2021,3B,Coneflower,C2,21.5,
8/27/2021,3B,Joe-Pye,J1,69.5,
8/27/2021,3B,Joe-Pye,J2,66.5,
8/27/2021,3C,Milkweed,M1,46,38.09
8/27/2021,3C,Milkweed,M2,32,
